phase,component,current_path,target_path,status,notes
phaseA,skills source,skills/,skills/,done,current local slim keeps skills/ as source
phaseA,skills generated,.github/skills/,.github/skills/,done,generated by scripts/build-copilot-skills.js
phaseA,agents runtime,.github/agents/,.github/agents/,done,current runtime surface
phaseA,hooks runtime,.github/hooks/,.github/hooks/,done,current runtime surface
phaseA,instructions runtime,.github/instructions/,.github/instructions/,done,current runtime surface
phaseA,prompts runtime,.github/prompts/,.github/prompts/,done,current runtime surface
phaseA,state runtime,state/,state/,done,task state kept in root/state
phaseA,audit runtime,audit_log/,audit_log/,done,append-only audit log
phaseA,memory runtime,memory/,memory/,done,decision memory layout active
phaseA,cache runtime,cache/,cache/,done,planner/reviewer caches kept
phaseB,root layout gate,(new),.github/instructions/repo-layout.instructions.md,done,added root write boundary rule
phaseB,hook gate script,(new),.github/hooks/scripts/repo-layout-check.js,done,blocks unexpected root writes
phaseB,hook gate config,(new),.github/hooks/repo-layout-gate.json,done,PreToolUse deny policy
phaseB,config validation,scripts/validate-configs.js,scripts/validate-configs.js,done,added root allowlist and skill drift checks with mode=dry-run|warn|enforce
phaseB,skill quality fix,skills/baseline-metrics/SKILL.md,skills/baseline-metrics/SKILL.md,done,replaced mojibake text and restored utf-8 source
phaseB,skill quality fix,skills/memory-distillation/SKILL.md,skills/memory-distillation/SKILL.md,done,replaced mojibake text and restored utf-8 source
phaseC,legacy manifests,mcp/ and manifests/,deleted,done,removed in local slim mode
phaseC,install scripts,scripts/install-*,deleted,done,removed in local slim mode
phaseC,packaging,packaging/,deleted,done,removed in local slim mode
